Province,PostCode,Area
Ontario,K0A-K0H,203
Ontario,K0J,211
Ontario,K0K-K0Z,203
Ontario,K1A-K7T,202
Ontario,K7V-K8H,210
Ontario,K8J-K9Z,202
Ontario,L0A-L0G,202
Ontario,L0H,200
Ontario,L0J-L0Z,202
Ontario,L1A-L1E,201
Ontario,L1G-L1Z,200
Ontario,L2A-L3N,201
Ontario,L3P-L3T,200
Ontario,L3V-L3W,201
Ontario,L3X-L3Y,200
Ontario,L3Z,201
Ontario,L4A-L4L,200
Ontario,L4M-L4R,201
Ontario,L4S-L7B,200
Ontario,L7C-L7K,200
Ontario,L7L-L9M,201
Ontario,L9N,200
Ontario,L9P-L9S,201
Ontario,L9T-L9X,200
Ontario,L9Y-L9Z,201
Ontario,M0A-M0Z,201
Ontario,M1A-M9Z,200
Ontario,N0A-N0Z,203
Ontario,N1A-N9Z,202
Ontario,P0A-P0Z,211
Ontario,P1A-P1C,203
Ontario,P1E-P1G,207
Ontario,P1H,204
Ontario,P1J-P1K,207
Ontario,P1L,203
Ontario,P1M-P1N,207
Ontario,P1P,203
Ontario,P1R-P1Z,207
Ontario,P2A-P2N,210
Ontario,P2P-P2Z,209
Ontario,P3A-P3Y,203
Ontario,P3Z-P4R,209
Ontario,P4S-P5N,210
Ontario,P5P-P5Z,209
Ontario,P6A-P6C,204
Ontario,P6E-P6Z,209
Ontario,P7A-P7L,204
Ontario,P7M-P9Z,209
Quebec,G0A,204
Quebec,G0B-G0L,212
Quebec,G0M-G0S,204
Quebec,G0T-G0W,212
Quebec,G0X-G0Z,204
Quebec,G1A-G3K,203
Quebec,G3L-G3N,204
Quebec,G3P-G3R,211
Quebec,G3S,204
Quebec,G3T-G4Z,211
Quebec,G5A,204
Quebec,G5B-G5T,211
Quebec,G5V-G6B,204
Quebec,G6C,203
Quebec,G6E-G6H,204
Quebec,G6J-G6K,203
Quebec,G6L-G6T,204
Quebec,G6V-G7A,203
Quebec,G7B-G8C,210
Quebec,G8E-G8N,211
Quebec,G8P-G8S,212
Quebec,G8T-G9C,203
Quebec,G9E-G9Z,204
Quebec,H0A-H9Z,203
Quebec,J0A-J0L,204
Quebec,J0M,212
Quebec,J0N-J0V,204
Quebec,J0W-J0Z,212
Quebec,J1A-J8K,203
Quebec,J8L-J9B,202
Quebec,J9C,204
Quebec,J9E,210
Quebec,J9G,204
Quebec,J9H-J9J,202
Quebec,J9K-J9L,210
Quebec,J9M-J9Z,211
